ncam,id,time,x,y
2,7,2025-07-03 16:22:46.397326,257.0,56.0
2,2,2025-07-03 16:22:46.453524,252.5,258.5
2,7,2025-07-03 16:22:46.455524,258.5,56.5
2,2,2025-07-03 16:22:46.514911,254.0,261.0
2,7,2025-07-03 16:22:46.516907,261.5,56.5
2,2,2025-07-03 16:22:46.573989,254.5,261.5
2,7,2025-07-03 16:22:46.575488,263.5,56.0
2,2,2025-07-03 16:22:46.639572,255.0,263.5
2,7,2025-07-03 16:22:46.641078,265.5,56.0
2,2,2025-07-03 16:22:46.697184,254.0,265.5
2,7,2025-07-03 16:22:46.698684,266.5,56.5
2,2,2025-07-03 16:22:46.746333,248.5,273.0
2,7,2025-07-03 16:22:46.751850,267.0,56.0
2,2,2025-07-03 16:22:46.809929,241.5,280.0
2,7,2025-07-03 16:22:46.811935,268.5,55.0
2,2,2025-07-03 16:22:46.880022,238.5,283.0
2,7,2025-07-03 16:22:46.883033,269.5,54.5
2,2,2025-07-03 16:22:46.945330,237.5,284.5
2,7,2025-07-03 16:22:46.947329,271.0,54.0
2,2,2025-07-03 16:22:47.012210,237.5,288.0
2,7,2025-07-03 16:22:47.014292,272.5,53.5
2,2,2025-07-03 16:22:47.096693,237.5,290.0
2,2,2025-07-03 16:22:47.194290,237.5,292.0
2,2,2025-07-03 16:22:47.285225,235.5,300.0
2,7,2025-07-03 16:22:47.287231,275.5,53.5
2,2,2025-07-03 16:22:47.343947,234.0,303.5
2,7,2025-07-03 16:22:47.345949,277.5,54.0
2,2,2025-07-03 16:22:47.415361,233.5,306.5
2,7,2025-07-03 16:22:47.424371,278.0,53.5
2,2,2025-07-03 16:22:47.478196,223.0,312.5
2,7,2025-07-03 16:22:47.480710,281.5,52.5
2,2,2025-07-03 16:22:47.550816,217.5,314.5
2,7,2025-07-03 16:22:47.553333,283.0,52.0
2,2,2025-07-03 16:22:47.633087,199.0,325.0
2,2,2025-07-03 16:22:47.690494,193.0,330.0
2,2,2025-07-03 16:22:47.753032,167.0,334.5
