timestamp,personas,coordenadas
2025-07-03T15:54:18,13,"[{'x': 1319.5, 'y': 816.5}, {'x': 831.5, 'y': 923.0}, {'x': 559.5, 'y': 762.5}, {'x': 95.5, 'y': 877.5}, {'x': 1014.0, 'y': 632.0}, {'x': 717.5, 'y': 511.0}, {'x': 1046.5, 'y': 403.0}, {'x': 441.5, 'y': 551.0}, {'x': 435.5, 'y': 326.0}, {'x': 906.5, 'y': 530.0}, {'x': 782.0, 'y': 392.0}, {'x': 156.5, 'y': 417.0}, {'x': 521.0, 'y': 436.5}]"
2025-07-03T15:54:19,11,"[{'x': 1018.0, 'y': 911.5}, {'x': 170.0, 'y': 885.0}, {'x': 599.5, 'y': 751.5}, {'x': 913.5, 'y': 525.0}, {'x': 588.0, 'y': 444.0}, {'x': 1273.0, 'y': 615.5}, {'x': 754.5, 'y': 510.0}, {'x': 461.5, 'y': 540.0}, {'x': 1547.5, 'y': 808.0}, {'x': 437.0, 'y': 325.5}, {'x': 1051.0, 'y': 399.0}]"
2025-07-03T15:54:20,9,"[{'x': 397.0, 'y': 827.0}, {'x': 932.0, 'y': 839.0}, {'x': 1156.5, 'y': 683.5}, {'x': 900.0, 'y': 516.0}, {'x': 303.0, 'y': 654.0}, {'x': 797.0, 'y': 487.5}, {'x': 438.5, 'y': 325.5}, {'x': 1241.0, 'y': 590.0}, {'x': 153.5, 'y': 414.0}]"
2025-07-03T15:54:21,9,"[{'x': 920.0, 'y': 799.5}, {'x': 483.0, 'y': 754.5}, {'x': 1039.0, 'y': 632.0}, {'x': 289.0, 'y': 661.0}, {'x': 1124.0, 'y': 554.0}, {'x': 792.5, 'y': 585.5}, {'x': 586.0, 'y': 518.0}, {'x': 439.0, 'y': 325.0}, {'x': 153.5, 'y': 414.0}]"
2025-07-03T15:54:22,11,"[{'x': 334.0, 'y': 812.0}, {'x': 915.0, 'y': 828.5}, {'x': 201.0, 'y': 691.0}, {'x': 614.5, 'y': 492.0}, {'x': 1069.5, 'y': 535.0}, {'x': 1246.5, 'y': 687.0}, {'x': 887.5, 'y': 551.0}, {'x': 438.0, 'y': 325.5}, {'x': 152.0, 'y': 414.5}, {'x': 1194.5, 'y': 447.5}, {'x': 688.0, 'y': 383.0}]"
2025-07-03T15:54:23,10,"[{'x': 251.0, 'y': 866.0}, {'x': 887.5, 'y': 875.5}, {'x': 553.0, 'y': 497.0}, {'x': 1068.0, 'y': 534.5}, {'x': 938.5, 'y': 545.5}, {'x': 437.0, 'y': 325.5}, {'x': 153.0, 'y': 414.5}, {'x': 282.5, 'y': 651.0}, {'x': 1302.0, 'y': 723.0}, {'x': 857.5, 'y': 463.0}]"
2025-07-03T15:54:24,13,"[{'x': 874.0, 'y': 873.5}, {'x': 378.5, 'y': 831.5}, {'x': 1244.0, 'y': 747.0}, {'x': 557.5, 'y': 511.0}, {'x': 842.0, 'y': 611.5}, {'x': 437.0, 'y': 325.5}, {'x': 1145.0, 'y': 570.0}, {'x': 153.0, 'y': 414.5}, {'x': 826.5, 'y': 439.0}, {'x': 1207.0, 'y': 461.5}, {'x': 293.5, 'y': 646.5}, {'x': 909.0, 'y': 404.0}, {'x': 591.0, 'y': 431.0}]"
2025-07-03T15:54:25,12,"[{'x': 1299.5, 'y': 783.5}, {'x': 429.0, 'y': 821.5}, {'x': 884.5, 'y': 878.5}, {'x': 797.5, 'y': 641.0}, {'x': 1059.5, 'y': 368.0}, {'x': 556.0, 'y': 521.5}, {'x': 925.0, 'y': 407.5}, {'x': 436.5, 'y': 325.5}, {'x': 153.5, 'y': 414.0}, {'x': 301.5, 'y': 645.0}, {'x': 828.0, 'y': 483.0}, {'x': 1184.0, 'y': 526.0}]"
2025-07-03T15:54:26,12,"[{'x': 1417.5, 'y': 853.0}, {'x': 807.5, 'y': 843.5}, {'x': 810.0, 'y': 510.0}, {'x': 364.0, 'y': 868.5}, {'x': 624.5, 'y': 690.0}, {'x': 1170.5, 'y': 604.0}, {'x': 531.5, 'y': 532.0}, {'x': 436.0, 'y': 324.5}, {'x': 154.5, 'y': 414.5}, {'x': 865.5, 'y': 397.5}, {'x': 1058.0, 'y': 360.5}, {'x': 1065.5, 'y': 508.0}]"
2025-07-03T15:54:27,12,"[{'x': 199.5, 'y': 882.5}, {'x': 850.0, 'y': 916.5}, {'x': 1148.5, 'y': 797.0}, {'x': 522.0, 'y': 755.0}, {'x': 762.0, 'y': 519.0}, {'x': 438.0, 'y': 325.0}, {'x': 195.5, 'y': 644.5}, {'x': 154.5, 'y': 414.5}, {'x': 479.5, 'y': 521.5}, {'x': 933.0, 'y': 499.0}, {'x': 551.0, 'y': 443.5}, {'x': 45.0, 'y': 559.5}]"
